case	label	angle_deg	delta_mz	ratio_to_no_ami
no_ami	No AMI	-45.00000000	0.4123703274276928	1.0000000000000000
no_ami	No AMI	-33.75000000	0.4056766939599231	1.0000000000000000
no_ami	No AMI	-22.50000000	0.3705925989589375	1.0000000000000000
no_ami	No AMI	-11.25000000	0.3525542997093286	1.0000000000000000
no_ami	No AMI	0.00000000	0.3467572383126002	1.0000000000000000
no_ami	No AMI	11.25000000	0.3525693142802609	1.0000000000000000
no_ami	No AMI	22.50000000	0.3705880773420603	1.0000000000000000
no_ami	No AMI	33.75000000	0.4045965763828889	1.0000000000000000
no_ami	No AMI	45.00000000	0.4231755998043557	1.0000000000000000
equilibrium_mu0	Equilibrium AMI ($\mu = 0$)	-45.00000000	0.3242238729469912	0.7862444297810015
equilibrium_mu0	Equilibrium AMI ($\mu = 0$)	-33.75000000	0.3143098521038115	0.7747791696775713
equilibrium_mu0	Equilibrium AMI ($\mu = 0$)	-22.50000000	0.2880239530927434	0.7771983409864510
equilibrium_mu0	Equilibrium AMI ($\mu = 0$)	-11.25000000	0.2750608766169200	0.7801943611060770
equilibrium_mu0	Equilibrium AMI ($\mu = 0$)	0.00000000	0.2709579865677248	0.7814054232473073
equilibrium_mu0	Equilibrium AMI ($\mu = 0$)	11.25000000	0.2750602984709075	0.7801594958211800
equilibrium_mu0	Equilibrium AMI ($\mu = 0$)	22.50000000	0.2880200792045290	0.7771973703802688
equilibrium_mu0	Equilibrium AMI ($\mu = 0$)	33.75000000	0.3135144363970828	0.7748815850097288
equilibrium_mu0	Equilibrium AMI ($\mu = 0$)	45.00000000	0.3313547641076194	0.7830195414405101
coherent_w1p5	Coherent AMI ($\Omega_c = 1.5 J$)	-45.00000000	0.4437171349344348	1.0760161568905284
coherent_w1p5	Coherent AMI ($\Omega_c = 1.5 J$)	-33.75000000	0.3248433921867824	0.8007445264254538
coherent_w1p5	Coherent AMI ($\Omega_c = 1.5 J$)	-22.50000000	0.2728020642579088	0.7361238865111168
coherent_w1p5	Coherent AMI ($\Omega_c = 1.5 J$)	-11.25000000	0.2423089601452814	0.6872954332001014
coherent_w1p5	Coherent AMI ($\Omega_c = 1.5 J$)	0.00000000	0.2113426712259509	0.6094830846340583
coherent_w1p5	Coherent AMI ($\Omega_c = 1.5 J$)	11.25000000	0.2299146957134898	0.6521120426570314
coherent_w1p5	Coherent AMI ($\Omega_c = 1.5 J$)	22.50000000	0.2672216259775914	0.7210745361646925
coherent_w1p5	Coherent AMI ($\Omega_c = 1.5 J$)	33.75000000	0.3168369030813792	0.7830933862908950
coherent_w1p5	Coherent AMI ($\Omega_c = 1.5 J$)	45.00000000	0.4541859882085769	1.0732801901115236
coherent_w2p0	Coherent AMI ($\Omega_c = 2.0 J$)	-45.00000000	0.5195120425318599	1.2598191673307386
coherent_w2p0	Coherent AMI ($\Omega_c = 2.0 J$)	-33.75000000	0.5518379144381855	1.3602899122735941
coherent_w2p0	Coherent AMI ($\Omega_c = 2.0 J$)	-22.50000000	0.5208859175406251	1.4055486240251127
coherent_w2p0	Coherent AMI ($\Omega_c = 2.0 J$)	-11.25000000	0.4978365429947811	1.4120847296579100
coherent_w2p0	Coherent AMI ($\Omega_c = 2.0 J$)	0.00000000	0.4920616075547573	1.4190377393396061
coherent_w2p0	Coherent AMI ($\Omega_c = 2.0 J$)	11.25000000	0.4870138117883332	1.3813278469299828
coherent_w2p0	Coherent AMI ($\Omega_c = 2.0 J$)	22.50000000	0.5166399626543892	1.3941084299307340
coherent_w2p0	Coherent AMI ($\Omega_c = 2.0 J$)	33.75000000	0.5393685806770709	1.3331021866251309
coherent_w2p0	Coherent AMI ($\Omega_c = 2.0 J$)	45.00000000	0.5577938473040370	1.3181143893029719
